true I(max),predicted I(max)
0.1533518110929726,0.18897630028425647
0.1262279520643319,0.17014877968955422
0.1305467768048452,0.15307125884021894
0.1281524476729305,0.14889682862392953
0.1467739725293752,0.15376873091831464
0.1278690134822897,0.15449349723155675
0.1247774105427899,0.16694814311894396
0.1476374782421774,0.13958874740886118
0.1673549456067156,0.1861677640150684
0.1493678537679528,0.16994712937577067
0.1551057044087813,0.17244972714043072
0.1408237543294718,0.1868673206110447
0.1185668909401154,0.15530311574389127
0.1699472281569415,0.20667737857376406
0.1868673206110447,0.1408237543294719
0.1669481431189441,0.1247774105427899
0.1742542616619473,0.14503188975569775
0.1991371932770883,0.19582022716205993
0.201545490020261,0.16221310708727824
0.1546583984408366,0.13644192797282392
0.1852697126993668,0.1516865390475356
0.1505344569239362,0.19524836685387528
0.1419322000395445,0.14279298573549457
0.1524438253505655,0.16398685070468105
0.189156716790403,0.21596633903249662
0.1757424178789437,0.2013993109649593
0.1786298363971533,0.14962169514988033
0.1649997170835524,0.1738555913557236
0.1673876271473193,0.17145316732331806
0.1796725996400625,0.1397458529364493
0.1988295294943661,0.1596428038170191
0.22276546351961,0.18897442547215754
0.2014395483819878,0.1953384459673119
0.196495336085485,0.203663525862067
0.2066458577673262,0.1964761423275772
0.1877148071822762,0.16751370438276644
0.2301794208632827,0.22892241798182464
0.2007368281172766,0.2024446521806904
0.2344890448928223,0.22506106910331303
0.2073782062838123,0.19315165767437942
0.2256180036108331,0.23239702981994723
0.2177529243098235,0.20966193069743988
0.2018371638254278,0.19195942128653684
