true I(450),predicted I(450)
0.08571890599648349,0.11764519748223083
0.07485518368521409,0.11025294574358566
0.07254666419758668,0.09309199259080479
0.07272162121116978,0.08751242909079056
0.08322166929824121,0.0901393945652436
0.07126215364401167,0.09284532946918989
0.07281228596651801,0.10918067777207463
0.08632344726603527,0.08318656911635627
0.1021146479523631,0.10919914663839876
0.08782655354946631,0.09953309998653995
0.09068708833398155,0.1006276875378416
0.08168005295732284,0.10999245246304361
0.0651247120436319,0.09911842627896476
0.1007447300440321,0.132221106680188
0.1099924524630436,0.08168005295732292
0.1091806777720746,0.07281228596651794
0.1072039301065623,0.07690736278093097
0.1250322688475686,0.1317605395666104
0.1217253508625364,0.09026966871813673
0.09520327636917952,0.0850281398100633
0.1138546484782483,0.08525999958800665
0.1031417933883546,0.14166010090661516
0.09101829824512699,0.09306704358469782
0.09616453750245291,0.11750728541951867
0.1154942126374615,0.1512890201221612
0.1075046558484979,0.1495794340412449
0.1032708485338312,0.08453313374971881
0.09722212331475104,0.10220109838621169
0.1040411726117963,0.10627989371109045
0.1300230378228115,0.09863849748628632
0.1416396071296631,0.11663446403717419
0.1580790620958338,0.11969745327037248
0.1482510111379287,0.13782778206434523
0.1470253857452461,0.14287757168438645
0.1466298875719278,0.13142742006148797
0.136008077639381,0.11200280902746917
0.1620987861714664,0.15953045120028728
0.1455081792867788,0.14047636309723197
0.1618389124942934,0.16060417137928198
0.1450676479312069,0.1353633579559947
0.1626680449802808,0.16084639883974813
0.1578688578761119,0.13835550710675487
0.152979221171454,0.12866818213177195
