true I(max) - I(450),predicted I(max) - I(450)
0.07687486814800111,0.0676901874679816
0.05627928784811256,0.050735221809041955
0.0736625041529415,0.06366185663382348
0.06823776203044579,0.06096079898249111
0.07535898786332212,0.05572080997088176
0.06777759376880137,0.059327062880283554
0.06334645453552296,0.0519915078183291
0.06705033155538505,0.059328470914539334
0.07410492442951966,0.06720007111082107
0.07982013915772462,0.0676089804591126
0.05945512207165712,0.05675745752042275
0.0714150642211185,0.0634429474355006
0.0509139017944175,0.04828284887493207
0.05540227351832805,0.06797645540487231
0.06460660610004071,0.06249825317265998
0.05611221354587172,0.06446481849444066
0.055622887003298,0.05959080186586492
0.0547945832994238,0.061643435948692316
0.06078653297460446,0.054330371008644796
0.06154130021848644,0.06858657160861277
0.05344217889648349,0.05616478571510457
0.06920249811290935,0.07204653266601344
0.05137276837911785,0.05509985479041002
0.05800011260725857,0.06574712435523777
0.05543082646176074,0.060659967838811
0.06355230323113398,0.06450368481094043
0.05660685983827801,0.05901409315621122
0.05196512457627185,0.054158452316881156
0.0613140309761421,0.05930421081004047
0.06524029765435248,0.0763013249761326
0.04195346580524624,0.049703125781665976
0.06636690713225168,0.06917801264962942
0.04690138693379287,0.04890996232746453
0.06731547150940051,0.06779473940297104
0.04758211013427258,0.05097264675461068
0.04855407818243287,0.05884108334489859
0.07685516974641839,0.07019049557263393
0.05056898938998616,0.05055909599040139
0.05882806951440611,0.05040030931965611
0.05495633770638896,0.049811482953857254
0.04863061763783147,0.05078317534675707
0.05110436932670505,0.05430242228369404
0.04966784367274621,0.04759367918550446
0.05406687780117311,0.058453391862448
0.04964956181725097,0.05085077585318942
0.07265013239852888,0.06861428584053869
0.06231055835260541,0.056560036651316384
0.0629499586305523,0.06275643127579543
0.05988406643371152,0.0663492829103144
0.04885794265397375,0.05386270310153206
0.05718992236470294,0.06079241993545899
0.06468640142377619,0.06970431560890569
0.05318853724405911,0.052556242256009245
0.04946995034023893,0.05149957224300759
0.06001597019539837,0.06646317376431624
0.05170672954289526,0.0514836721999017
0.0680806346918163,0.06747370726493962
0.0552286488304978,0.05752670484713572
