true I(max) d I(650),predicted I(max) d I(650)
5.279126366176878,4.382810542132942
4.97181002772498,4.617132432657952
4.452258358142387,3.9611898569440145
4.010717600418594,4.175421481270897
4.241651811193235,3.882527017474074
4.515480757163514,4.661493656961788
4.257577440012154,4.940766697563785
3.939944367274304,3.981988983541086
4.377154869677721,4.3240804088400795
3.576545321792839,3.8584810564575447
3.730142427725829,4.211984171614872
3.662728161549236,3.6164640673524646
3.84267029219035,3.9711488720951236
4.184889347328602,4.1412456385957395
